,pathKey,pathName,location1Key,location1Name,location2Key,location2Name
0,Path(4660206705573888),Script Arena Reward Room #5 - Script Arena Entrance,Location(4585920951222272),Reward Room,Location(4924288943783936),Volantis Arena
1,Path(4838459706441728),Hollow to QCavern,Location(6659892925431808),Rest Area,Location(4522237236346880),Troll Cave
2,Path(5456874340089856),Wastes 2 - Special,Location(6171154488229888),Burning Wastes,Location(4851296928530432),Burning Wastes
3,Path(5032642032435200),Wastes - Tribal1,Location(6171154488229888),Burning Wastes,Location(5791764549992448),Vall'A Cliffsides
4,Path(5911922394791936),Underground Sea - Seafall,Location(5145738682564608),Underground Sea,Location(6265261703823360),Seafall
5,Path(5162159953149952),Sea Cave - Underground Sea,Location(5145738682564608),Underground Sea,Location(6317989675139072),Sea Cave
6,Path(5301445911379968),Crystal Lake - Hilgadas Castle East,Location(6052839970832384),Hilgadas Castle East,Location(6519651913170944),Crystal Lake
7,Path(5865451071995904),Hilgadas Castle - East Bridge,Location(6052839970832384),Hilgadas Castle East,Location(5305761816641536),East Bridge
8,Path(4684068163682304),Old Mine 6 to Old Mine 7,Location(6526462635016192),Old Mine,Location(5254671279063040),Old Mine
9,Path(6110159239643136),Old Mine 6 to Old Mine 6 - North,Location(6526462635016192),Old Mine,Location(6626420507803648),Old Mine
10,Path(6649188909580288),Old Mine 5 to Old Mine 6,Location(6526462635016192),Old Mine,Location(6559762615369728),Old Mine
11,Path(6708120451547136),Great Northern Hills-Northern Valley,Location(4514173299982336),Great Northern Valley,Location(6616739106258944),Northern Hills
12,Path(5702240174080000),Great Northern Valley-Overgrown Path,Location(4514173299982336),Great Northern Valley,Location(5490839199416320),Overgrown Path
13,Path(4665620742275072),Eridis Climb - Eridis Peak,Location(6495208090894336),Eridis Climb,Location(5558112463355904),Eridis Peak
14,Path(5165380116938752),Eridis Forest - Eridis Climb,Location(6495208090894336),Eridis Climb,Location(5687441444831232),Eridis Forest
15,Path(4958585038045184),Trail Head - Sapphire Way,Location(6479938689957888),Sapphire Way,Location(6491840832864256),Trail Head
16,Path(5596733627695104),Sapphire Way - Rasheek Plains,Location(6479938689957888),Sapphire Way,Location(5130714677248000),Rasheek Plains
17,Path(4699078659670016),Fisherman's Seaside Cottage - Fisherman's Ferry 1,Location(4969103341649920),Fisherman's Seaside Cottage,Location(4691376327884800),Fisherman's Ferry
18,Path(5906909261987840),Volantis Docks - Fisherman's Seaside Cottage,Location(4969103341649920),Fisherman's Seaside Cottage,Location(6029236821295104),Volantis Docks
19,Path(5612875917295616),Reward room - volantis arena,Location(6462885076664320),Reward Room,Location(5532894400872448),Volantis Arena
