KEY,location1Key,location2Key,name
Path(4504901711822848),Location(6522286975221760),Location(5723021814267904),Marble Entryway - Vault Entrance
Path(4505590945021952),Location(5493588075479040),Location(6255519904301056),Dark Wood Pass - Blood Forest
Path(4505781470756864),Location(5629499534213120),Location(6521777110908928),Aera - Artius River
Path(4507850553950208),Location(6281921692172288),Location(5166136202625024),Unbound Volantis Hall to Training Room
Path(4511347259211776),Location(4999024957980672),Location(6615857679040512),Gulch Valley Training Grounds - Gor'Grub Tribe Inner Camp
Path(4512954907099136),Location(5483341094584320),Location(4851296928530432),wastes2-3
Path(4513153564016640),Location(5058849023197184),Location(4525514647666688),North to Cemetery Grave Marker
Path(4514327390322688),Location(6559762615369728),Location(5402915028074496),Old Mine 4 to Old Mine 5
Path(4518967873372160),Location(6729726053318656),Location(5054881141882880),Gulchtop Climb - Gulchtop Overlook
Path(4522699816960000),Location(4535180153061376),Location(6373434477248512),Xaruk Forest 3 - Xaruk Forest 4
Path(4523847580647424),Location(4522237236346880),Location(6123396480892928),Hollow to Dig
Path(4525404420833280),Location(4664531078348800),Location(4566930161139712),Concealed Tunnel to Wardrobe
Path(4527310338523136),Location(4891495303741440),Location(5164584575172608),Artius Lane - Misty Forest (set back to 50 later)
Path(4527378073649152),Location(6496593936646144),Location(4929421640728576),Path to Great Hall
Path(4533901007519744),Location(6004484656332800),Location(5581553321115648),Orc Outpost - Orc Camp
Path(4535227344486400),Location(6722752167280640),Location(6176624057253888),Gor'Grub Chieftain's Tent - Goliath Gulch River
Path(4540816871653376),Location(5138194007851008),Location(5791764549992448),Cliffs - Pass
Path(4541524351647744),Location(4664650326605824),Location(5634325495676928),Arena Hallway #11 - Reward Room #4
Path(4543203804446720),Location(6070019941728256),Location(6447747551461376),Mine Cart Start - Mine Cart 1
Path(4544280001773568),Location(6016207203598336),Location(4924288943783936),Script Arena Reward Room #4 - Script Arena Entrance
Path(4545239524311040),Location(4568800104284160),Location(4946209752219648),Debuff Instance Flooded Marsh - Ancient Shrine
Path(4549444012081152),Location(4542490997161984),Location(6366052439293952),Glacial Temple Core Chamber - Northern Crags
Path(4549493658222592),Location(6010831181971456),Location(5757649010294784),North West Hills - Cricketon Cave Entrance
Path(4550542554562560),Location(6346726843613184),Location(4696875286396928),Old Mine 8 to Darkroom 1
Path(4554923043192832),Location(5989522382258176),Location(6439113737109504),Deep Emerald Jungle2 to Deep Emerald Jungle3
Path(4559301398233088),Location(5084846481473536),Location(4619891441401856),Magival Forest #1 - Magical Forest #2
Path(4559689713975296),Location(6430401187807232),Location(5050118708396032),null
Path(4560634709016576),Location(5135394614542336),Location(5158558446911488),Mountain Pass - Nubark Mountain
Path(4561442661728256),Location(4869547509415936),Location(4550381602340864),old mine - hidden room #3
Path(4561925400690688),Location(4538703854698496),Location(5710106524123136),Dense Jungle - Dense Jungle
Path(4565457541791744),Location(5227257375490048),Location(5200925509812224),underwater cave -> Underwater Grotto
Path(4568895922896896),Location(6206022230212608),Location(6347799369089024),Sewer Bend - Sewer Tunnel
Path(4580172231081984),Location(6260418198110208),Location(5028676472668160),Path to interior
Path(4582370261860352),Location(4558049120354304),Location(5077797692243968),embalm to burial
Path(4584387822747648),Location(6062382437629952),Location(6063976345501696),Hobgoblin Tribe Campsite - Hobgoblin Warmonger's Tent
Path(4586126132117504),Location(6608541406199808),Location(5634233376702464),Kujir Marsh4 - Kujir Marsh5
Path(4587167980716032),Location(4905123335897088),Location(6412814696841216),Xaruk - Xaruk Outskirts
Path(4589904822796288),Location(4931718721306624),Location(4855686986465280),Ruined Stairway - Broken Stone Structure
Path(4590975675006976),Location(6135225797574656),Location(4770947488284672),Stony Creekbed - Icy Crevice
Path(4593402413842432),Location(5940601584353280),Location(6412108060164096),shore to sea1
Path(4595945752231936),Location(5510739426541568),Location(4664531078348800),Concealed Tunnel to Gatehouse
Path(4596979684868096),Location(5687534527447040),Location(5925028669947904),Militia Entrancehall - Militia Common Room
Path(4600493737246720),Location(6512637336616960),null,Ferry
Path(4600906855481344),Location(4562755466297344),Location(5387186786795520),Gnoll Farmlands -> Gnoll Village
Path(4608495328428032),Location(4879570511593472),Location(4895729587847168),Old Mine 10 to Old Mine 10 - West
Path(4609079714512896),Location(5254277645729792),Location(5976692956856320),Secret Passageway 2 - Secret Passageway 4
Path(4611681256734720),Location(6752176053420032),Location(6206475493965824),Aseridith Fort South Beach - Hidden Cave Entrance
Path(4612787271892992),Location(5222156023889920),Location(6304554086039552),Hidden Path - Ritual Site
Path(4613730845327360),Location(4856993229570048),Location(6516680261894144),Enter
Path(4616532452704256),Location(6255055358394368),Location(4682798056079360),Lavish Pavilion - Nomad Camp Commons
Path(4619332224548864),Location(5868511773065216),Location(5822583015997440),Tomb of Gol'Shlanek 1 - Tomb of Gol'Shlanek 2
Path(4623240843493376),Location(5444270617001984),Location(4967743391531008),"Third Floor Staircase, Alchemist Quarters"
Path(4624792265162752),Location(5144264902180864),Location(5125020728688640),Vampire
Path(4625005903609856),Location(6753946298744832),Location(4730559019876352),Gates of doom+ large temple hallway
Path(4626463871467520),Location(4878355516096512),Location(4867564377210880),Village - Priest
Path(4631380222279680),Location(6473361068130304),Location(4976416520667136),AC Library to Book
Path(4631624574828544),Location(6317216115195904),Location(5454343955808256),East Kyprite Ruins - Derelict Kyprite Library
Path(4631695216082944),Location(5549972914176000),Location(4800583262273536),Station to Storage
Path(4632567141105664),Location(5951574616047616),Location(6722752167280640),Goliath Gulch River - Goliath Gulch Descent
Path(4634249697165312),Location(5895074189672448),Location(6029236821295104),Ferry - Volantis Docks
Path(4637073294491648),Location(6019391822495744),Location(6166932471939072),Hallway - Storage Room
Path(4643763486195712),Location(5994107512291328),Location(4532035590291456),Yshmar Mountain
Path(4645934038253568),Location(5649391675244544),Location(5155067514585088),"Area Countryside, Wildeburn Forest"
Path(4648787760906240),Location(5471573840494592),Location(4682133618556928),Aseridith Fort Courtyard 2 - Aseridith Fort Inner Gate
Path(4650630514212864),Location(4634198741090304),Location(5493588075479040),Evergreen Trail - Dark Wood Pass
Path(4653617787174912),Location(4922127197143040),Location(5721210795065344),Base - Storeroom
Path(4654065025286144),Location(6648810576543744),Location(5049097595125760),Niks Test Location 2-3
Path(4654732798853120),Location(5582586864730112),Location(5582586864730112),Winding River - Winding River
